id;filename;type;title;author;year
1;0001.pdf;paper;A three-dimensional spatial model for plant competition in an heterogeneous soil environment;Mario Biondini;2001
2;0002.pdf;paper;Roots, water, and nutrient acquisition: let’s get physical;Nick Chapman, Anthony J. Miller, Keith Lindsey, W. Richard Whalley;2012
3;0003.pdf;paper;Analytical solutions of the one-dimensional advection–dispersion solute transport equation subject to time-dependent boundary conditions;J.S. Pérez Guerrero, E.M. Pontedeiro, M.Th. van Genuchten, T.H. Skaggs;2013
4;0004.pdf;paper;Mass flow and diffusion of nutrients to a root with constant or zero-sink uptake 1. constant uptake;P. de Willigen, M. van Noordwijk;1994
5;0005.pdf;paper;Mass flow and diffusion of nutrients to a root with constant or zero-sink uptake 2. zero-sink uptake;P. de Willigen, M. van Noordwijk;1994
6;0006.pdf;paper;Ion Transporters and Abiotic Stress Tolerance in Plants;Fa ̈cal Brini and Khaled Masmoudi;2012
7;0007.pdf;paper;Scaling of root length density of maize in the field profile;J. Zhuang, G.R. Yu, K. Nakayama1;2001
8;0008.pdf;book;NIST Handbook of Mathematical Functions;Frank W. J. Olver, Daniel W. Lozier, Ronald F. Boisvert, Charles W. Clark;2010
9;0009.pdf;book;Handbook of Mathematical Functions With Formulas, Graphs, and Mathematical Tables;Milton Abramowitz, Irene A. Stegun;1972
10;0010.pdf;other;A Catalogue of Sturm-Liouville differential equations;W.N. Everitt;0000
11;0011.pdf;other;Effect of Temperature on Nutritional Requirements of Plants;Michael J. Ungs, Larry Boersma, Suntaree Akratanakul;1982
12;0012.pdf;book;Advanced Engineering Mathematics;Alan Jeffrey;2002
13;0013.pdf;other;SWAP version 3.2. Theory description and user manual;Jos van Dam;2009
14;0014.pdf;other;Analysis of ion content and expression of ion transporting genes in salt-stressed diploid CxE potato mapping population;Kibrom Nerhe Abreha;2010
15;0015.pdf;other;Analytical Solutions of the One-Dimensional Convective-Dispersive Solute-Transport Equation;M. Th. van Genuchten, W. J. Alves;1982
16;0016.pdf;paper;Transient three-dimensional modeling of soil water and solute transport with simultaneous root growth, root water and nutrient uptake;F. Somma, J.W. Hopmans, V. Clausnitzer;1998
17;0017.pdf;paper;Water transport and balance within the plant: resistance to water flow in roots;Edwin L. Fiscus;1983
18;0018.pdf;other;Element Concnetrations in Soils and Other Surficial Materials of the Conterminous United States;Hansford T. Shacklette, Josephine G. Boerngen;1984
19;0019.pdf;book;dynamics of fluids in porous media;Jacob Bear;0000
20;0020.pdf;other;Bessel Functions;Martin Kreh;0000
21;0021.pdf;paper;Mechanistic simulation models of nutrient uptake: A review;ZDENKO RENGEL;1993
22;0022.pdf;paper;Generalized Kinetic Analysis of Ion-Driven Cotransport Systems: II. Random Ligand Binding as a Simple Explanation for Non-Michaelian Kinetics;Dale Sanders;1986
